"well.id","flag_id","Metadata_Experiment","Metadata_Plate","Metadata_Well","Metadata_Date","Metadata_Group","Metadata_Magnification","FileName_RawBF","wo_po_area_frac","assay_type","food_conc_OD","food_type","diluent","diluent_concentration_perc","drug","concentration_um","drug_stock_prep_date","drug_prep_method","strain","bleach","well_censor","well_censor_reason","notes","i.dir","w.lab","gbm2x_class","mean_wormlength_um","min_wormlength_um","q10_wormlength_um","q25_wormlength_um","median_wormlength_um","sd_wormlength_um","q75_wormlength_um","q90_wormlength_um","max_wormlength_um","cv_wormlength_um","n","assay_bleach","median_wormlength_um_reg","assay_bleach_coeff","assay_bleach_se","assay_bleach_tvalue","assay_bleach_pvalue","control_median_wormlength_um_reg","median_wormlength_um_reg_delta"
"BZMLA1B1_p021_A01","BZMLA1B1_1_N2_ivermectin_25","BZMLA1B1","p021","A01",20230601,"p021_A01","m2x","20230601-BZMLA1B1-p021-m2x_A01.TIF",1.22313671696388,"48h",10,"15h_HB101_OD100_20221214_ESAS","DMSO",1,"ivermectin_25",0,NA,NA,"N2",1,NA,NA,NA,"/projects/b1059/projects/Amanda/projects/cellprofiler-nf/projects/20231225_BZML_HTA_IVM_25/Analysis-20231227/processed_images","ivermectin_25_N2","worm",806.352404630211,680.723485040547,732.712224118364,760.262955147956,815.553626992132,58.6875898848428,861.661260891873,868.791319486444,879.438289862352,0.0727815649185751,19,"BZMLA1B1_1",328.713978935233,486.839648056919,7.05530075240581,69.003386976935,0,313.818482885878,14.8954960493549
"BZMLA1B1_p021_A02","BZMLA1B1_1_N2_ivermectin_25","BZMLA1B1","p021","A02",20230601,"p021_A02","m2x","20230601-BZMLA1B1-p021-m2x_A02.TIF",1.10447239692523,"48h",10,"15h_HB101_OD100_20221214_ESAS","DMSO",1,"ivermectin_25",0,NA,NA,"N2",1,NA,NA,NA,"/projects/b1059/projects/Amanda/projects/cellprofiler-nf/projects/20231225_BZML_HTA_IVM_25/Analysis-20231227/processed_images","ivermectin_25_N2","worm",829.791781033259,745.917774888249,783.855263683227,803.063621514385,823.212881793455,44.8791086453186,852.657169377185,890.630310080906,928.156063743792,0.0540847832807346,20,"BZMLA1B1_1",336.373233736535,486.839648056919,7.05530075240581,69.003386976935,0,313.818482885878,22.5547508506567
"BZMLA1B1_p021_A03","BZMLA1B1_1_N2_ivermectin_25","BZMLA1B1","p021","A03",20230601,"p021_A03","m2x","20230601-BZMLA1B1-p021-m2x_A03.TIF",1.08267568583239,"48h",10,"15h_HB101_OD100_20221214_ESAS","DMSO",1,"ivermectin_25",0,NA,NA,"N2",1,NA,NA,NA,"/projects/b1059/projects/Amanda/projects/cellprofiler-nf/projects/20231225_BZML_HTA_IVM_25/Analysis-20231227/processed_images","ivermectin_25_N2","worm",817.414820840717,756.415905935761,773.681038947414,788.501798836307,811.313458273716,35.6853294024925,851.687369516792,862.004895869631,865.241667217637,0.043656327843175,17,"BZMLA1B1_1",324.473810216797,486.839648056919,7.05530075240581,69.003386976935,0,313.818482885878,10.6553273309186
"BZMLA1B1_p021_A04","BZMLA1B1_1_N2_ivermectin_25","BZMLA1B1","p021","A04",20230601,"p021_A04","m2x","20230601-BZMLA1B1-p021-m2x_A04.TIF",1.18891988840175,"48h",10,"15h_HB101_OD100_20221214_ESAS","DMSO",1,"ivermectin_25",0,NA,NA,"N2",1,NA,NA,NA,"/projects/b1059/projects/Amanda/projects/cellprofiler-nf/projects/20231225_BZML_HTA_IVM_25/Analysis-20231227/processed_images","ivermectin_25_N2","worm",801.102454872598,638.105182721933,699.219524870517,762.872070089866,819.064767771253,75.0926921619223,834.693921038829,856.992745452364,954.865492301158,0.0937366896146443,17,"BZMLA1B1_1",332.225119714334,486.839648056919,7.05530075240581,69.003386976935,0,313.818482885878,18.4066368284557
"BZMLA1B1_p021_A05","BZMLA1B1_1_N2_ivermectin_25","BZMLA1B1","p021","A05",20230601,"p021_A05","m2x","20230601-BZMLA1B1-p021-m2x_A05.TIF",1.06063685636856,"48h",10,"15h_HB101_OD100_20221214_ESAS","DMSO",1,"ivermectin_25",0,NA,NA,"N2",1,NA,NA,NA,"/projects/b1059/projects/Amanda/projects/cellprofiler-nf/projects/20231225_BZML_HTA_IVM_25/Analysis-20231227/processed_images","ivermectin_25_N2","worm",814.744383627952,734.57542220252,755.761184593078,793.754479320938,813.147752462227,45.8254507663441,842.047768211434,879.538614598243,883.066159355721,0.056245187677501,12,"BZMLA1B1_1",326.308104405308,486.839648056919,7.05530075240581,69.003386976935,0,313.818482885878,12.4896215194296
"BZMLA1B1_p021_A06","BZMLA1B1_1_N2_ivermectin_25","BZMLA1B1","p021","A06",20230601,"p021_A06","m2x","20230601-BZMLA1B1-p021-m2x_A06.TIF",1.25695426685526,"48h",10,"15h_HB101_OD100_20221214_ESAS","DMSO",1,"ivermectin_25",0,NA,NA,"N2",1,NA,NA,NA,"/projects/b1059/projects/Amanda/projects/cellprofiler-nf/projects/20231225_BZML_HTA_IVM_25/Analysis-20231227/processed_images","ivermectin_25_N2","worm",811.73417951805,713.198215667369,775.869590412005,779.174549413768,812.542467217636,54.7207559738694,832.644536857893,897.952494847765,898.735473724556,0.0674121619547408,11,"BZMLA1B1_1",325.702819160718,486.839648056919,7.05530075240581,69.003386976935,0,313.818482885878,11.8843362748394
"BZMLA1B1_p021_A07","BZMLA1B1_1_N2_ivermectin_25","BZMLA1B1","p021","A07",20230601,"p021_A07","m2x","20230601-BZMLA1B1-p021-m2x_A07.TIF",1.1401397515528,"48h",10,"15h_HB101_OD100_20221214_ESAS","DMSO",1,"ivermectin_25",0,NA,NA,"N2",1,NA,NA,NA,"/projects/b1059/projects/Amanda/projects/cellprofiler-nf/projects/20231225_BZML_HTA_IVM_25/Analysis-20231227/processed_images","ivermectin_25_N2","worm",798.143967577962,720.415824692977,733.154330618051,782.3618410539,797.351351236457,41.4466834514538,826.70206472718,850.508671620674,872.017099437613,0.0519288313074988,24,"BZMLA1B1_1",310.511703179538,486.839648056919,7.05530075240581,69.003386976935,0,313.818482885878,-3.3067797063398
"BZMLA1B1_p021_A08","BZMLA1B1_1_N2_ivermectin_25","BZMLA1B1","p021","A08",20230601,"p021_A08","m2x","20230601-BZMLA1B1-p021-m2x_A08.TIF",1.1781954887218,"48h",10,"15h_HB101_OD100_20221214_ESAS","DMSO",1,"ivermectin_25",0,NA,NA,"N2",1,NA,NA,NA,"/projects/b1059/projects/Amanda/projects/cellprofiler-nf/projects/20231225_BZML_HTA_IVM_25/Analysis-20231227/processed_images","ivermectin_25_N2","worm",805.106643531891,661.065469890446,735.719019695431,780.629840779874,813.789738966161,56.6237612633328,852.335237477835,860.435712122956,868.389945568733,0.0703307589351544,20,"BZMLA1B1_1",326.950090909242,486.839648056919,7.05530075240581,69.003386976935,0,313.818482885878,13.131608023364
"BZMLA1B1_p021_A09","BZMLA1B1_1_N2_ivermectin_25","BZMLA1B1","p021","A09",20230601,"p021_A09","m2x","20230601-BZMLA1B1-p021-m2x_A09.TIF",1.18232518232518,"48h",10,"15h_HB101_OD100_20221214_ESAS","DMSO",1,"ivermectin_25",0,NA,NA,"N2",1,NA,NA,NA,"/projects/b1059/projects/Amanda/projects/cellprofiler-nf/projects/20231225_BZML_HTA_IVM_25/Analysis-20231227/processed_images","ivermectin_25_N2","worm",784.922662455198,718.763996915121,742.315189078283,760.557117335157,781.320891070044,35.6067721692451,808.134484355721,835.217111661827,851.721647887346,0.0453634146042732,22,"BZMLA1B1_1",294.481243013125,486.839648056919,7.05530075240581,69.003386976935,0,313.818482885878,-19.3372398727529
"BZMLA1B1_p021_A10","BZMLA1B1_1_N2_ivermectin_25","BZMLA1B1","p021","A10",20230601,"p021_A10","m2x","20230601-BZMLA1B1-p021-m2x_A10.TIF",1.3176116407426,"48h",10,"15h_HB101_OD100_20221214_ESAS","DMSO",1,"ivermectin_25",0,NA,NA,"N2",1,NA,NA,NA,"/projects/b1059/projects/Amanda/projects/cellprofiler-nf/projects/20231225_BZML_HTA_IVM_25/Analysis-20231227/processed_images","ivermectin_25_N2","worm",795.900592331199,719.979530618051,741.148695054171,756.107390412005,795.08606287022,46.9100063332194,831.450925517361,858.249484658609,869.985180864975,0.0589395293648666,19,"BZMLA1B1_1",308.246414813302,486.839648056919,7.05530075240581,69.003386976935,0,313.818482885878,-5.57206807257666
